Term,Definition
acceder,to access
la agenda,diary
almacenar,to store
la arroba,"at symbol, @"
bajo demanda,on demand
la banda ancha,broadband
buscar,to look for
el buscador,search engine
cargar,to upload
la carpeta,file
el ciberespacio,cyberspace
comprar,to buy
compartir,to share
comunicar,to communicate
conectarse,to connect
el/la consumido/a,consumer
el consumo,consumption
el contenido,content
el correo basura,spam
el correo electrónico,email
crecer,to grow
la cuenta bancaria,bank account
desarrollar,to develop
un/una desconocido/a,"unknown person, strange"
descargar,to download
los datos personales,personal details
la estafa,"swindle, scam"
escuchar,to listen
facilitar,"to ease, facilitate"
el fraude,fraud
funcionar,"to work, function"
galopante,"out of control, rapidly advancing"
gestionar,"to manage, handle"
guardar,to store
hacer clic,to click
la herramienta,tool
inalámbrico,wireless
la imagen,image
la impresora,printer
imprimir,to print
el/la internauta,internet user
invertir,to invest
meterse en Facebook,to log into Facebook
el navegador,browser
navegar,to surf
el ordenador ,computer
la pantalla,screen
pasar,to spend time
el perfil,profile
las personas mayores,old people
el/la portavoz,spokesperson
la prensa,press
el proveedor,provider
el ratón,mouse
el/la seguidor/a,follower
seguir,to follow
subir,to upload
el suscriptor,subscriber
la tableta,tablet
el teclado,keyboard
la tecnología,technology
el/la telespectador(a),TV viewer
el teléfono inteligente,smartphone
la telemedicina,diagnosing through the Internet
tener una cuenta,to have an account
tuitear,to tweet
el/la usuario/a,user
"utilizar, usar",to use
